# 托洛洛Agent - jieba天文自定义词典
# 格式：词语 词频(可选) 词性(可选)
# 词频越大优先级越高，词性如 n=名词, ns=地名, nz=专名

# ======== 太阳系行星 ========
水星 100 n
金星 100 n
地球 100 n
火星 100 n
木星 100 n
土星 100 n
天王星 100 n
海王星 100 n
冥王星 100 n
类地行星 80 n
类木行星 80 n
冰巨行星 80 n
气态巨行星 80 n

# ======== 矮行星 ========
谷神星 80 n
阋神星 80 n
鸟神星 80 n
妊神星 80 n
小行星 80 n
矮行星 80 n

# ======== 天然卫星 ========
月球 100 n
木卫一 80 n
木卫二 80 n
木卫三 80 n
木卫四 80 n
土卫六 80 n
土卫二 80 n
土卫五 80 n
土卫四 80 n
土卫三 80 n
土卫一 80 n
海卫一 80 n
天卫三 80 n
天卫四 80 n
火卫一 80 n
火卫二 80 n
木卫一 80 n

# ======== 恒星和太阳 ========
太阳 100 n
半人马座α星 80 n
比邻星 80 n
天狼星 80 n
织女星 80 n
牛郎星 80 n
北极星 80 n
参宿四 80 n
参宿七 80 n
心宿二 80 n
南门二 80 n
北河三 80 n
河鼓二 80 n
大角星 80 n
五车二 80 n
天津四 80 n
角宿一 80 n
轩辕十四 80 n
恒星 80 n
白矮星 80 n
红巨星 80 n
超新星 80 n
中子星 80 n
黑洞 80 n
变星 80 n
双星 80 n
主序星 80 n
红矮星 80 n
蓝巨星 80 n
褐矮星 80 n

# ======== 星座 ========
仙女座 80 n
大熊座 80 n
猎户座 80 n
仙后座 80 n
天鹅座 80 n
天琴座 80 n
天鹰座 80 n
金牛座 80 n
双子座 80 n
巨蟹座 80 n
狮子座 80 n
室女座 80 n
天秤座 80 n
天蝎座 80 n
人马座 80 n
摩羯座 80 n
宝瓶座 80 n
双鱼座 80 n
小熊座 80 n
长蛇座 80 n
半人马座 80 n
武仙座 80 n

# ======== 星系和星云 ========
银河系 80 n
仙女座星系 80 n
大麦哲伦云 80 n
小麦哲伦云 80 n
猎户座大星云 80 n
蟹状星云 80 n
鹰状星云 80 n
马头星云 80 n
螺旋星系 80 n
椭圆星系 80 n
不规则星系 80 n
球状星团 80 n
疏散星团 80 n
星云 80 n
星系 80 n
星团 80 n

# ======== 天文探测任务 ========
旅行者1号 80 n
旅行者2号 80 n
先驱者10号 80 n
先驱者11号 80 n
新视野号 80 n
卡西尼号 80 n
伽利略号 80 n
朱诺号 80 n
信使号 80 n
黎明号 80 n
哈勃太空望远镜 80 n
詹姆斯韦伯太空望远镜 80 n
开普勒太空望远镜 80 n
斯皮策太空望远镜 80 n
钱德拉X射线天文台 80 n
嫦娥一号 80 n
嫦娥二号 80 n
嫦娥三号 80 n
嫦娥四号 80 n
嫦娥五号 80 n
天问一号 80 n
祝融号 80 n
羲和号 80 n
中国天眼 80 n
FAST 80 n

# ======== 天文学家 ========
哥白尼 80 n
伽利略 80 n
开普勒 80 n
牛顿 80 n
哈勃 80 n
爱因斯坦 80 n
霍金 80 n
张衡 80 n
郭守敬 80 n
托勒密 80 n
